DATE,TIME,AIR_TEMPERATURE[C],AIR_HUMIDITY[%],SOIL_TEMPERATURE[C],SOIL_MOISTURE[%],SOIL_MOISTURE[RAW],LIGHT_LEVEL[LUX]
18.07.2025,00:03:05,15.60,97.00,16.31,100.00,1235,nan
18.07.2025,00:08:05,15.60,97.00,16.31,100.00,1232,nan
18.07.2025,00:13:05,15.60,97.00,16.31,100.00,1232,nan
18.07.2025,00:18:05,15.60,97.00,16.31,100.00,1235,nan
18.07.2025,00:23:05,15.60,97.00,16.25,100.00,1233,nan
18.07.2025,00:28:05,15.60,97.00,16.25,100.00,1234,nan
18.07.2025,00:33:05,15.60,97.00,16.25,100.00,1232,nan
18.07.2025,00:38:04,15.60,97.00,16.25,100.00,1232,nan
18.07.2025,00:43:05,15.60,97.00,16.25,100.00,1232,nan
18.07.2025,00:48:05,15.60,97.00,16.25,100.00,1232,nan
18.07.2025,00:53:05,15.60,97.00,16.19,100.00,1232,nan
18.07.2025,00:58:04,15.60,97.00,16.19,100.00,1232,nan
18.07.2025,01:03:04,15.60,97.00,16.19,100.00,1232,nan
18.07.2025,01:08:04,15.60,97.00,16.19,100.00,1232,nan
18.07.2025,01:13:03,15.60,97.00,16.19,100.00,1232,nan
18.07.2025,01:18:03,15.50,98.00,16.19,100.00,1233,4.08
18.07.2025,01:23:02,15.50,98.00,16.19,100.00,1235,nan
18.07.2025,01:28:03,15.50,98.00,16.12,100.00,1233,nan
18.07.2025,01:33:02,15.50,98.00,16.12,100.00,1232,nan
18.07.2025,01:38:02,15.40,98.00,16.12,100.00,1232,nan
18.07.2025,01:43:02,15.40,98.00,16.12,100.00,1231,nan
18.07.2025,01:48:02,15.50,98.00,16.12,100.00,1232,nan
18.07.2025,01:53:02,15.50,99.00,16.12,100.00,1232,nan
18.07.2025,01:58:02,15.50,98.00,16.12,100.00,1232,nan
18.07.2025,02:03:02,15.50,99.00,16.12,100.00,1234,nan
18.07.2025,02:08:01,15.60,99.00,16.12,100.00,1234,nan
18.07.2025,02:13:01,15.50,99.00,16.12,100.00,1232,nan
18.07.2025,02:18:01,15.60,99.00,16.06,100.00,1232,nan
18.07.2025,02:23:00,15.50,99.00,16.06,100.00,1233,nan
18.07.2025,02:28:01,15.50,99.00,16.06,100.00,1232,nan
18.07.2025,02:33:01,15.50,98.00,16.06,100.00,1232,nan
18.07.2025,02:38:00,15.30,98.00,16.06,100.00,1233,nan
18.07.2025,02:43:00,15.40,99.00,16.06,100.00,1235,nan
18.07.2025,02:48:00,15.40,99.00,16.06,100.00,1232,nan
18.07.2025,02:53:00,15.40,99.00,16.00,100.00,1232,nan
18.07.2025,02:58:00,15.50,99.00,16.06,100.00,1236,nan
18.07.2025,03:03:00,15.40,99.00,16.00,100.00,1232,nan
18.07.2025,03:07:59,15.50,99.00,16.00,100.00,1233,nan
18.07.2025,03:12:59,15.50,99.00,16.00,100.00,1233,nan
18.07.2025,03:17:59,15.50,99.00,16.00,100.00,1232,nan
18.07.2025,03:22:59,15.50,99.00,16.00,100.00,1232,nan
18.07.2025,03:27:59,15.50,99.00,16.00,100.00,1246,nan
18.07.2025,03:32:59,15.50,99.00,16.00,100.00,1233,4.08
18.07.2025,03:37:58,15.50,99.00,16.00,100.00,1237,nan
18.07.2025,03:42:58,15.50,99.00,15.94,100.00,1233,nan
18.07.2025,03:47:58,15.50,99.00,16.00,100.00,1232,nan
18.07.2025,03:52:58,15.50,99.00,16.00,100.00,1235,0.00
18.07.2025,03:57:58,15.40,99.00,15.94,100.00,1238,nan
18.07.2025,04:02:57,15.40,99.00,16.00,100.00,1232,nan
18.07.2025,04:07:57,15.30,99.00,15.94,100.00,1235,nan
18.07.2025,04:12:57,15.10,99.00,15.94,100.00,1232,4.08
18.07.2025,04:17:56,15.00,99.00,15.94,100.00,1232,8.16
18.07.2025,04:22:56,14.90,99.00,15.88,100.00,1232,13.06
18.07.2025,04:27:56,14.80,99.00,15.88,100.00,1217,22.21
18.07.2025,04:32:56,14.40,99.00,15.81,100.00,1231,30.85
18.07.2025,04:37:56,14.10,99.00,15.75,100.00,1232,54.55
18.07.2025,04:42:56,14.40,99.00,15.75,100.00,1236,79.97
18.07.2025,04:47:56,14.80,99.00,15.75,100.00,1234,128.85
18.07.2025,04:52:55,14.90,99.00,15.75,100.00,1232,176.02
18.07.2025,04:57:55,14.90,99.00,15.75,100.00,1232,250.52
18.07.2025,05:02:55,14.70,99.00,15.69,100.00,1232,268.39
18.07.2025,05:07:55,15.00,99.00,15.69,100.00,1232,306.70
18.07.2025,05:12:55,15.20,99.00,15.69,100.00,1232,427.95
18.07.2025,05:17:55,15.30,99.00,15.75,100.00,1233,714.01
18.07.2025,05:22:54,15.20,99.00,15.69,100.00,1235,776.17
18.07.2025,05:27:54,15.20,99.00,15.69,100.00,1233,694.93
18.07.2025,05:32:54,15.20,99.00,15.75,100.00,1233,970.14
18.07.2025,05:37:54,15.40,99.00,15.75,100.00,1233,1041.29
18.07.2025,05:42:54,15.40,99.00,15.75,100.00,1235,1469.74
18.07.2025,05:47:54,15.60,99.00,15.75,100.00,1233,1714.10
18.07.2025,05:52:53,15.70,99.00,15.81,100.00,1233,1572.71
18.07.2025,05:57:53,15.80,98.00,15.81,100.00,1235,1167.87
18.07.2025,06:02:53,15.80,98.00,15.81,100.00,1233,1580.10
18.07.2025,06:07:54,15.80,98.00,15.81,100.00,1232,1394.57
18.07.2025,06:12:53,16.00,98.00,15.88,100.00,1231,2275.98
18.07.2025,06:17:53,16.00,98.00,15.88,100.00,1237,2287.24
18.07.2025,06:22:53,16.20,97.00,15.94,100.00,1232,2197.85
18.07.2025,06:27:53,16.30,97.00,15.94,100.00,1234,2412.16
18.07.2025,06:32:53,16.40,96.00,16.00,100.00,1235,2649.46
18.07.2025,06:37:53,16.60,96.00,16.00,100.00,1235,3659.34
18.07.2025,06:42:53,16.70,95.00,16.06,100.00,1237,3577.79
18.07.2025,06:47:53,16.80,94.00,16.12,100.00,1236,3701.34
18.07.2025,06:52:54,16.90,94.00,16.19,100.00,1237,5179.00
18.07.2025,06:57:54,17.20,93.00,16.25,100.00,1239,4772.71
18.07.2025,07:02:54,17.50,92.00,16.25,100.00,1242,3017.71
18.07.2025,07:07:53,17.20,92.00,16.31,100.00,1237,2312.38
18.07.2025,07:12:53,17.00,92.00,16.31,100.00,1244,2524.23
18.07.2025,07:17:53,16.90,93.00,16.38,100.00,1241,2636.61
